country,year,GDP
Aruba,1999,1722798882
Aruba,2000,1873452513
Aruba,2001,1920262569
Aruba,2002,1941094972
Aruba,2003,2021301675
Aruba,2004,2228279329
Aruba,2005,2331005586
Aruba,2006,2421474860
Aruba,2007,2623726256
Aruba,2008,2791960893
Aruba,2009,2498932960
Aruba,2010,2467703910
Andorra,1999,1239840265
Andorra,2000,1133644294
Andorra,2001,1264760246
Andorra,2002,1456198796
Andorra,2003,1917948475
Andorra,2004,2322163502
Andorra,2005,2539759285
Andorra,2006,2823503852
Andorra,2007,3245411583
Andorra,2008,3712034266
Afghanistan,2001,2461666314
Afghanistan,2002,4128818042
Afghanistan,2003,4583648921
Afghanistan,2004,5285461999
Afghanistan,2005,6275076016
Afghanistan,2006,7057597614
Afghanistan,2007,9843851009
Afghanistan,2008,10190534636
Afghanistan,2009,12486950468
Afghanistan,2010,15936784437
Angola,1999,6152922942
Angola,2000,9129594818
Angola,2001,8936079252
Angola,2002,12497346042
Angola,2003,14188949239
Angola,2004,19640862549
Angola,2005,28233699333
Angola,2006,41789493191
Angola,2007,60448887582
Angola,2008,84178084135
Angola,2009,75492416522
Angola,2010,82470894868
Albania,1999,3434402453
Albania,2000,3686649386
Albania,2001,4091020249
Albania,2002,4449373455
Albania,2003,5652325081
Albania,2004,7464446950
Albania,2005,8376483393
Albania,2006,9132558096
Albania,2007,10701011524
Albania,2008,12881353507
Albania,2009,12044208085
Albania,2010,11926957254
Arab World,1999,634118560209
Arab World,2000,726012626653
Arab World,2001,713007194598
Arab World,2002,724009906745
Arab World,2003,815538537451
Arab World,2004,959405027973
Arab World,2005,1176100113613
Arab World,2006,1399822842753
Arab World,2007,1638668685146
Arab World,2008,2079570727190
Arab World,2009,1791752937396
Arab World,2010,2097884310030
United Arab Emirates,1999,84445475523
United Arab Emirates,2000,104337375342
United Arab Emirates,2001,103311643522
United Arab Emirates,2002,109816204634
United Arab Emirates,2003,124346361618
United Arab Emirates,2004,147824374542
United Arab Emirates,2005,180617023539
United Arab Emirates,2006,222105928740
United Arab Emirates,2007,257916140791
United Arab Emirates,2008,315474644818
United Arab Emirates,2009,253547454485
United Arab Emirates,2010,286049293398
Argentina,1999,283523000000
Argentina,2000,284203750000
Argentina,2001,268696750000
Argentina,2002,102040286874
Argentina,2003,129597154256
Argentina,2004,183295704305
Argentina,2005,222907566120
Argentina,2006,264489701813
Argentina,2007,329761480066
Argentina,2008,406003733832
Argentina,2009,378496221140
Argentina,2010,462703793707
Armenia,1999,1845482181
Armenia,2000,1911563665
Armenia,2001,2118467913
Armenia,2002,2376335048
Armenia,2003,2807061008
Armenia,2004,3576615240
Armenia,2005,4900436758
Armenia,2006,6384457744
Armenia,2007,9206301700
Armenia,2008,11662040713
Armenia,2009,8647936747
Armenia,2010,9260287416
Antigua and Barbuda,1999,651851840
Antigua and Barbuda,2000,783837838
Antigua and Barbuda,2001,773765171
Antigua and Barbuda,2002,802529319
Antigua and Barbuda,2003,839996355
Antigua and Barbuda,2004,898356132
Antigua and Barbuda,2005,997374093
Antigua and Barbuda,2006,1135143572
Antigua and Barbuda,2007,1289254310
Antigua and Barbuda,2008,1347349851
Antigua and Barbuda,2009,1206410370
Antigua and Barbuda,2010,1135539037
Australia,1999,388692192004
Australia,2000,414987125541
Australia,2001,378488247289
Australia,2002,394250732524
Australia,2003,466451368666
Australia,2004,612871674491
Australia,2005,693338595699
Australia,2006,747205750224
Australia,2007,853441155688
Australia,2008,1055031652298
Australia,2009,926283274398
Australia,2010,1141267760188
Austria,1999,216725261027
Austria,2000,196421706283
Austria,2001,196953628635
Austria,2002,212970685111
Austria,2003,260721478555
Austria,2004,299870270001
Austria,2005,314641160523
Austria,2006,334292246560
Austria,2007,386439116524
Austria,2008,427627368047
Austria,2009,397570327085
Austria,2010,389656071767
Azerbaijan,1999,4581222442
